"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3195","User Logout","Daily Finance","Mon May 05 02:59:01 BDT 2025","passed","Mon May 05 02:59:04 BDT 2025","testrunner.UserProfileTestRunner","User Profile Login","testrunner.UserProfileTestRunner","logout"
"","2035","setAuth","Default Suite","Sun May 04 02:12:26 BDT 2025","passed","Sun May 04 02:12:28 BDT 2025","testrunner.SearchUserTestRunner","Assignment-Selenium-TestNG","testrunner.SearchUserTestRunner","setAuth"
"","636","Reset Password","Default Suite","Thu May 01 01:58:33 BDT 2025","passed","Thu May 01 01:58:34 BDT 2025","testrunner.ResetPasswordTestRunner","Assignment-Selenium-TestNG","testrunner.ResetPasswordTestRunner","resetPassword"
"","753","User Login with NewPassword","Daily Finance","Mon May 05 02:59:06 BDT 2025","passed","Mon May 05 02:59:06 BDT 2025","testrunner.UserLoginWithNewAndOldEmailTestRunner","User Login With New and Old Email","testrunner.UserLoginWithNewAndOldEmailTestRunner","userLogin"
"","736","doLogin","Daily Finance","Mon May 05 02:59:28 BDT 2025","passed","Mon May 05 02:59:28 BDT 2025","testrunner.LoginTestRunnerCSV","Login From CSV File","testrunner.LoginTestRunnerCSV","doLogin"
"","3142","User Logout","Default Suite","Mon May 05 01:01:46 BDT 2025","passed","Mon May 05 01:01:49 BDT 2025","testrunner.UserLoginTestRunner","Assignment-Selenium-TestNG","testrunner.UserLoginTestRunner","userLogout"
"","7","doLogin","Default Suite","Sun May 04 02:34:31 BDT 2025","broken","Sun May 04 02:34:31 BDT 2025","testrunner.LoginTestRunnerCSV","Assignment-Selenium-TestNG","testrunner.LoginTestRunnerCSV","doLogin"
"","2217","Admin Logout","Daily Finance","Mon May 05 02:59:13 BDT 2025","passed","Mon May 05 02:59:15 BDT 2025","testrunner.LoginTestRunner","Admin Login","testrunner.LoginTestRunner","logout"
"","8593","Add Cost Item","Daily Finance","Mon May 05 02:58:41 BDT 2025","passed","Mon May 05 02:58:50 BDT 2025","testrunner.CostWithoutMandatoryFieldTestRunner","Add Item Cost Without All Field","testrunner.CostWithoutMandatoryFieldTestRunner","addCost"
"","2450","User Login with NewPassword","Daily Finance","Mon May 05 02:59:15 BDT 2025","passed","Mon May 05 02:59:18 BDT 2025","testrunner.LoginTestRunner","Admin Login","testrunner.LoginTestRunner","userLogin"
"","635","doLogin","Daily Finance","Mon May 05 02:59:28 BDT 2025","passed","Mon May 05 02:59:29 BDT 2025","testrunner.LoginTestRunnerCSV","Login From CSV File","testrunner.LoginTestRunnerCSV","doLogin"
"","1255","scrapeUserTableTest","Daily Finance","Mon May 05 02:59:31 BDT 2025","passed","Mon May 05 02:59:32 BDT 2025","testrunner.UserDataScrapTestRunner","Data Scrap","testrunner.UserDataScrapTestRunner","scrapeUserTableTest"
"","15883","User Registration","Daily Finance","Mon May 05 02:57:27 BDT 2025","passed","Mon May 05 02:57:43 BDT 2025","testrunner.UserRegistrationTestRunner","User Registration","testrunner.UserRegistrationTestRunner","userRegistration"
"","39299","User Login With Valid Email","Daily Finance","Mon May 05 02:57:48 BDT 2025","passed","Mon May 05 02:58:27 BDT 2025","testrunner.ResetPasswordTestRunner","Reset user Password","testrunner.ResetPasswordTestRunner","resetPasswordWithValidEmail"
"","460","adminLogin","Default Suite","Sun May 04 15:16:45 BDT 2025","passed","Sun May 04 15:16:45 BDT 2025","testrunner.LoginTestRunnerCSV","Assignment-Selenium-TestNG","testrunner.LoginTestRunnerCSV","adminLogin"
"","1114","doLogin","Daily Finance","Mon May 05 02:59:26 BDT 2025","passed","Mon May 05 02:59:28 BDT 2025","testrunner.LoginTestRunnerCSV","Login From CSV File","testrunner.LoginTestRunnerCSV","doLogin"
"","405","Admin Login","Daily Finance","Mon May 05 02:59:23 BDT 2025","passed","Mon May 05 02:59:23 BDT 2025","testrunner.SearchUserTestRunner","Admin Search User","testrunner.SearchUserTestRunner","adminLogin"
"","7","doLogin","Default Suite","Sun May 04 02:34:31 BDT 2025","broken","Sun May 04 02:34:31 BDT 2025","testrunner.LoginTestRunnerCSV","Assignment-Selenium-TestNG","testrunner.LoginTestRunnerCSV","doLogin"
"","346","User Login with NewPassword","Default Suite","Mon May 05 01:01:45 BDT 2025","passed","Mon May 05 01:01:46 BDT 2025","testrunner.UserLoginTestRunner","Assignment-Selenium-TestNG","testrunner.UserLoginTestRunner","userLogin"
"","8828","Add Cost Item","Daily Finance","Mon May 05 02:58:29 BDT 2025","passed","Mon May 05 02:58:38 BDT 2025","testrunner.UserCostTestRunner","Add Item Cost","testrunner.UserCostTestRunner","addCost"
"","1222","User Login","Daily Finance","Mon May 05 02:58:40 BDT 2025","passed","Mon May 05 02:58:41 BDT 2025","testrunner.CostWithoutMandatoryFieldTestRunner","Add Item Cost Without All Field","testrunner.CostWithoutMandatoryFieldTestRunner","userLogin"
"","298","User Login With OldEmail","Default Suite","Mon May 05 01:01:49 BDT 2025","passed","Mon May 05 01:01:49 BDT 2025","testrunner.UserLoginTestRunner","Assignment-Selenium-TestNG","testrunner.UserLoginTestRunner","userLoginWithOldEmail"
"","550","Login with Old Email","Daily Finance","Mon May 05 02:59:09 BDT 2025","passed","Mon May 05 02:59:09 BDT 2025","testrunner.UserLoginWithNewAndOldEmailTestRunner","User Login With New and Old Email","testrunner.UserLoginWithNewAndOldEmailTestRunner","userLoginWithOldEmail"
"","1183","Admin Login","Daily Finance","Mon May 05 02:59:12 BDT 2025","passed","Mon May 05 02:59:13 BDT 2025","testrunner.LoginTestRunner","Admin Login","testrunner.LoginTestRunner","adminLogin"
"","526","User Login With OldEmail","Daily Finance","Mon May 05 02:39:34 BDT 2025","passed","Mon May 05 02:39:35 BDT 2025","testrunner.LoginTestRunner","Admin Login","testrunner.LoginTestRunner","userLoginWithOldEmail"
"","729","userLoginWithOldEmail","Default Suite","Mon May 05 01:12:30 BDT 2025","passed","Mon May 05 01:12:31 BDT 2025","testrunner.UserLoginWithOldEmailTestRunner","Assignment-Selenium-TestNG","testrunner.UserLoginWithOldEmailTestRunner","userLoginWithOldEmail"
"","713","Reset with Wrong Password","Daily Finance","Mon May 05 02:57:47 BDT 2025","passed","Mon May 05 02:57:47 BDT 2025","testrunner.ResetPasswordTestRunner","Reset user Password","testrunner.ResetPasswordTestRunner","resetWithWrongPassword"
"","291","Reset with Empty Field","Daily Finance","Mon May 05 02:57:47 BDT 2025","passed","Mon May 05 02:57:48 BDT 2025","testrunner.ResetPasswordTestRunner","Reset user Password","testrunner.ResetPasswordTestRunner","resetWithEmptyField"
"","1055","User Login with NewPassword","Daily Finance","Mon May 05 02:58:52 BDT 2025","passed","Mon May 05 02:58:53 BDT 2025","testrunner.UserProfileTestRunner","User Profile Login","testrunner.UserProfileTestRunner","userLogin"
"","1145","Admin Search User By Email","Daily Finance","Mon May 05 02:59:23 BDT 2025","passed","Mon May 05 02:59:24 BDT 2025","testrunner.SearchUserTestRunner","Admin Search User","testrunner.SearchUserTestRunner","searchUserByUpdatedEmail"
"","3516","User Logout","Daily Finance","Mon May 05 02:59:18 BDT 2025","passed","Mon May 05 02:59:21 BDT 2025","testrunner.LoginTestRunner","Admin Login","testrunner.LoginTestRunner","userLogout"
